Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
2016,8,14,00:00,UTC,-1
2016,8,15,00:00,UTC,-1
2016,8,16,00:00,UTC,-1
2016,8,17,00:00,UTC,-1
2016,8,18,00:00,UTC,-1
2016,8,19,00:00,UTC,-1
2016,8,20,00:00,UTC,-1
2016,8,21,00:00,UTC,-1
2016,8,22,00:00,UTC,-1
2016,8,23,00:00,UTC,-1
2016,8,24,00:00,UTC,-1
2016,8,25,00:00,UTC,-1
2016,8,26,00:00,UTC,-1
2016,8,27,00:00,UTC,-1
2016,8,28,00:00,UTC,-1
2016,8,29,00:00,UTC,-1
2016,8,30,00:00,UTC,-1
2016,8,31,00:00,UTC,-1
2016,9,1,00:00,UTC,-1
2016,9,2,00:00,UTC,-1
2016,9,3,00:00,UTC,-1
2016,9,4,00:00,UTC,-1
2016,9,5,00:00,UTC,-1
2016,9,6,00:00,UTC,-1
2016,9,7,00:00,UTC,-1
2016,9,8,00:00,UTC,-1
2016,9,9,00:00,UTC,-1
2016,9,10,00:00,UTC,-1
2016,9,11,00:00,UTC,-1
2016,9,12,00:00,UTC,-1
2016,9,13,00:00,UTC,-1
2016,9,14,00:00,UTC,-1
2016,9,15,00:00,UTC,-1
2016,9,16,00:00,UTC,-1
2016,9,17,00:00,UTC,-1
2016,9,18,00:00,UTC,-1
2016,9,19,00:00,UTC,-1
2016,9,20,00:00,UTC,-1
2016,9,21,00:00,UTC,-1
2016,9,22,00:00,UTC,-1
2016,9,23,00:00,UTC,-1
2016,9,24,00:00,UTC,-1
2016,9,25,00:00,UTC,-1
2016,9,26,00:00,UTC,-1
2016,9,27,00:00,UTC,-1
2016,9,28,00:00,UTC,-1
2016,9,29,00:00,UTC,-1
2016,9,30,00:00,UTC,-1
2016,10,1,00:00,UTC,-1
2016,10,2,00:00,UTC,-1
2016,10,3,00:00,UTC,-1
2016,10,4,00:00,UTC,-1
2016,10,5,00:00,UTC,-1
2016,10,6,00:00,UTC,-1
2016,10,7,00:00,UTC,-1
2016,10,8,00:00,UTC,-1
2016,10,9,00:00,UTC,-1
2016,10,10,00:00,UTC,-1
2016,10,11,00:00,UTC,-1
2016,10,12,00:00,UTC,-1
2016,10,13,00:00,UTC,-1
2016,10,14,00:00,UTC,-1
2016,10,15,00:00,UTC,-1
2016,10,16,00:00,UTC,-1
2016,10,17,00:00,UTC,-1
2016,10,18,00:00,UTC,-1
2016,10,19,00:00,UTC,-1
2016,10,20,00:00,UTC,-1
2016,10,21,00:00,UTC,-1
2016,10,22,00:00,UTC,-1
2016,10,23,00:00,UTC,-1
2016,10,24,00:00,UTC,-1
2016,10,25,00:00,UTC,-1
2016,10,26,00:00,UTC,-1
2016,10,27,00:00,UTC,-1
2016,10,28,00:00,UTC,-1
2016,10,29,00:00,UTC,-1
2016,10,30,00:00,UTC,-1
2016,10,31,00:00,UTC,-1
2016,11,1,00:00,UTC,-1
2016,11,2,00:00,UTC,2
2016,11,3,00:00,UTC,4
2016,11,4,00:00,UTC,4
2016,11,5,00:00,UTC,3
2016,11,6,00:00,UTC,3
2016,11,7,00:00,UTC,5
2016,11,8,00:00,UTC,16
2016,11,9,00:00,UTC,20
2016,11,10,00:00,UTC,22
2016,11,11,00:00,UTC,20
2016,11,12,00:00,UTC,17
2016,11,13,00:00,UTC,14
2016,11,14,00:00,UTC,12
2016,11,15,00:00,UTC,11
2016,11,16,00:00,UTC,12
2016,11,17,00:00,UTC,7
2016,11,18,00:00,UTC,4
2016,11,19,00:00,UTC,-1
2016,11,20,00:00,UTC,-1
2016,11,21,00:00,UTC,-1
2016,11,22,00:00,UTC,-1
2016,11,23,00:00,UTC,-1
2016,11,24,00:00,UTC,-1
2016,11,25,00:00,UTC,-1
2016,11,26,00:00,UTC,-1
2016,11,27,00:00,UTC,-1
2016,11,28,00:00,UTC,0
2016,11,29,00:00,UTC,3
2016,11,30,00:00,UTC,4
2016,12,1,00:00,UTC,5
2016,12,2,00:00,UTC,5
2016,12,3,00:00,UTC,5
2016,12,4,00:00,UTC,6
2016,12,5,00:00,UTC,6
2016,12,6,00:00,UTC,6
2016,12,7,00:00,UTC,7
2016,12,8,00:00,UTC,8
2016,12,9,00:00,UTC,7
2016,12,10,00:00,UTC,7
2016,12,11,00:00,UTC,7
2016,12,12,00:00,UTC,7
2016,12,14,00:00,UTC,3
2016,12,15,00:00,UTC,3
2016,12,16,00:00,UTC,3
2016,12,17,00:00,UTC,3
2016,12,18,00:00,UTC,4
2016,12,19,00:00,UTC,5
2016,12,20,00:00,UTC,3
2016,12,21,00:00,UTC,2
2016,12,22,00:00,UTC,-1
2016,12,23,00:00,UTC,-1
2016,12,24,00:00,UTC,-1
2016,12,25,00:00,UTC,-1
2016,12,26,00:00,UTC,-1
2016,12,27,00:00,UTC,-1
2016,12,28,00:00,UTC,-1
2016,12,29,00:00,UTC,-1
2016,12,30,00:00,UTC,-1
2017,1,3,00:00,UTC,4
2017,1,4,00:00,UTC,6
2017,1,5,00:00,UTC,6
2017,1,6,00:00,UTC,5
2017,1,7,00:00,UTC,6
2017,1,8,00:00,UTC,10
2017,1,9,00:00,UTC,8
2017,1,10,00:00,UTC,7
2017,1,11,00:00,UTC,5
2017,1,12,00:00,UTC,5
2017,1,13,00:00,UTC,19
2017,1,14,00:00,UTC,18
2017,1,15,00:00,UTC,17
2017,1,16,00:00,UTC,17
2017,1,17,00:00,UTC,16
2017,1,18,00:00,UTC,17
2017,1,19,00:00,UTC,15
2017,1,20,00:00,UTC,14
2017,1,21,00:00,UTC,14
2017,1,22,00:00,UTC,15
2017,1,23,00:00,UTC,15
2017,1,24,00:00,UTC,14
2017,1,25,00:00,UTC,14
2017,1,26,00:00,UTC,14
2017,1,27,00:00,UTC,14
2017,1,28,00:00,UTC,13
2017,1,29,00:00,UTC,12
2017,1,30,00:00,UTC,14
2017,1,31,00:00,UTC,15
2017,2,1,00:00,UTC,15
2017,2,2,00:00,UTC,15
2017,2,3,00:00,UTC,14
2017,2,4,00:00,UTC,14
2017,2,5,00:00,UTC,16
2017,2,6,00:00,UTC,15
2017,2,7,00:00,UTC,16
2017,2,8,00:00,UTC,16
2017,2,9,00:00,UTC,16
2017,2,10,00:00,UTC,16
2017,2,11,00:00,UTC,16
2017,2,12,00:00,UTC,16
2017,2,13,00:00,UTC,16
2017,2,14,00:00,UTC,15
2017,2,15,00:00,UTC,15
2017,2,16,00:00,UTC,15
2017,2,17,00:00,UTC,16
2017,2,18,00:00,UTC,15
2017,2,19,00:00,UTC,14
2017,2,20,00:00,UTC,14
2017,2,21,00:00,UTC,18
2017,2,22,00:00,UTC,17
2017,2,23,00:00,UTC,33
2017,2,24,00:00,UTC,32
2017,2,25,00:00,UTC,32
2017,2,26,00:00,UTC,31
2017,2,27,00:00,UTC,33
2017,2,28,00:00,UTC,32
2017,3,1,00:00,UTC,26
2017,3,2,00:00,UTC,25
2017,3,3,00:00,UTC,24
2017,3,4,00:00,UTC,22
2017,3,5,00:00,UTC,23
2017,3,6,00:00,UTC,22
2017,3,7,00:00,UTC,24
2017,3,8,00:00,UTC,28
2017,3,9,00:00,UTC,31
2017,3,10,00:00,UTC,29
2017,3,11,00:00,UTC,27
2017,3,12,00:00,UTC,26
2017,3,13,00:00,UTC,27
2017,3,14,00:00,UTC,25
2017,3,15,00:00,UTC,26
2017,3,16,00:00,UTC,25
2017,3,17,00:00,UTC,25
2017,3,18,00:00,UTC,24
2017,3,19,00:00,UTC,23
2017,3,20,00:00,UTC,23
2017,3,21,00:00,UTC,22
2017,3,22,00:00,UTC,22
2017,3,23,00:00,UTC,22
2017,3,24,00:00,UTC,22
2017,3,25,00:00,UTC,22
2017,3,26,00:00,UTC,22
2017,3,27,00:00,UTC,20
2017,3,28,00:00,UTC,18
2017,3,29,00:00,UTC,17
2017,3,30,00:00,UTC,17
2017,3,31,00:00,UTC,21
2017,4,1,00:00,UTC,20
2017,4,2,00:00,UTC,17
2017,4,3,00:00,UTC,15
2017,4,4,00:00,UTC,14
2017,4,5,00:00,UTC,11
2017,4,6,00:00,UTC,11
2017,4,7,00:00,UTC,10
2017,4,8,00:00,UTC,8
2017,4,9,00:00,UTC,7
2017,4,10,00:00,UTC,5
2017,4,11,00:00,UTC,-1
2017,4,12,00:00,UTC,-1
2017,4,13,00:00,UTC,-1
2017,4,14,00:00,UTC,-1
2017,4,15,00:00,UTC,-1
2017,4,16,00:00,UTC,-1
2017,4,17,00:00,UTC,-1
2017,4,18,00:00,UTC,-1
2017,4,19,00:00,UTC,-1
2017,4,20,00:00,UTC,-1
2017,4,21,00:00,UTC,-1
2017,4,22,00:00,UTC,-1
2017,4,23,00:00,UTC,-1
2017,4,24,00:00,UTC,-1
2017,4,25,00:00,UTC,2
2017,4,26,00:00,UTC,-1
2017,4,27,00:00,UTC,-1
2017,4,28,00:00,UTC,-1
2017,4,29,00:00,UTC,-1
2017,4,30,00:00,UTC,5
2017,5,1,00:00,UTC,-1
2017,5,2,00:00,UTC,-1
2017,5,3,00:00,UTC,-1
2017,5,4,00:00,UTC,-1
2017,5,5,00:00,UTC,-1
2017,5,7,00:00,UTC,-1
2017,5,8,00:00,UTC,-1
2017,5,9,00:00,UTC,-1
2017,5,10,00:00,UTC,-1
2017,5,11,00:00,UTC,-1
2017,5,12,00:00,UTC,-1
2017,5,13,00:00,UTC,-1
2017,5,14,00:00,UTC,-1
2017,5,15,00:00,UTC,-1
2017,5,16,00:00,UTC,-1
2017,5,17,00:00,UTC,-1
2017,5,18,00:00,UTC,-1
2017,5,19,00:00,UTC,-1
2017,5,20,00:00,UTC,-1
2017,5,21,00:00,UTC,-1
2017,5,22,00:00,UTC,-1
2017,5,23,00:00,UTC,-1
2017,5,24,00:00,UTC,-1
2017,5,25,00:00,UTC,-1
2017,5,26,00:00,UTC,-1
2017,5,27,00:00,UTC,-1
2017,5,28,00:00,UTC,-1
2017,5,29,00:00,UTC,-1
2017,5,30,00:00,UTC,-1
2017,6,1,00:00,UTC,-1
2017,6,2,00:00,UTC,-1
2017,6,3,00:00,UTC,-1
2017,6,4,00:00,UTC,-1
2017,6,5,00:00,UTC,-1
2017,6,6,00:00,UTC,-1
2017,6,7,00:00,UTC,-1
2017,6,8,00:00,UTC,-1
2017,6,10,00:00,UTC,-1
2017,6,11,00:00,UTC,-1
2017,6,12,00:00,UTC,-1
2017,6,13,00:00,UTC,-1
2017,6,14,00:00,UTC,-1
2017,6,16,00:00,UTC,-1
2017,6,17,00:00,UTC,-1
2017,6,18,00:00,UTC,-1
2017,6,19,00:00,UTC,-1
2017,6,20,00:00,UTC,-1
2017,6,21,00:00,UTC,-1
2017,6,22,00:00,UTC,-1
2017,6,23,00:00,UTC,-1
2017,6,24,00:00,UTC,-1
2017,6,25,00:00,UTC,-1
2017,6,26,00:00,UTC,-1
2017,6,27,00:00,UTC,-1
2017,6,28,00:00,UTC,-1
2017,6,29,00:00,UTC,-1
2017,6,30,00:00,UTC,-1
2017,7,1,00:00,UTC,-1
2017,7,2,00:00,UTC,-1
2017,7,3,00:00,UTC,-1
2017,7,4,00:00,UTC,-1
2017,7,5,00:00,UTC,-1
2017,7,6,00:00,UTC,-1
2017,7,7,00:00,UTC,-1
2017,7,8,00:00,UTC,-1
2017,7,9,00:00,UTC,-1
2017,7,10,00:00,UTC,-1
2017,7,11,00:00,UTC,-1
2017,7,12,00:00,UTC,-1
2017,7,13,00:00,UTC,-1
2017,7,14,00:00,UTC,-1
2017,7,15,00:00,UTC,-1
2017,7,16,00:00,UTC,-1
2017,7,17,00:00,UTC,-1
2017,7,18,00:00,UTC,-1
2017,7,19,00:00,UTC,-1
2017,7,20,00:00,UTC,-1
2017,7,21,00:00,UTC,-1
2017,7,22,00:00,UTC,-1
2017,7,23,00:00,UTC,-1
2017,7,24,00:00,UTC,-1
2017,7,25,00:00,UTC,-1
2017,7,26,00:00,UTC,-1
2017,7,27,00:00,UTC,-1
2017,7,28,00:00,UTC,-1
2017,7,29,00:00,UTC,-1
2017,7,30,00:00,UTC,-1
2017,7,31,00:00,UTC,-1
2017,8,1,00:00,UTC,-1
2017,8,2,00:00,UTC,-1
2017,8,3,00:00,UTC,-1
2017,8,4,00:00,UTC,-1
2017,8,5,00:00,UTC,-1
2017,8,6,00:00,UTC,-1
2017,8,7,00:00,UTC,-1
2017,8,8,00:00,UTC,-1
2017,8,9,00:00,UTC,-1
2017,8,10,00:00,UTC,-1
2017,8,11,00:00,UTC,-1
2017,8,12,00:00,UTC,-1
2017,8,13,00:00,UTC,-1
2017,8,14,00:00,UTC,-1
2017,8,15,00:00,UTC,-1
2017,8,16,00:00,UTC,-1
2017,8,17,00:00,UTC,-1
2017,8,18,00:00,UTC,-1
2017,8,19,00:00,UTC,-1
2017,8,20,00:00,UTC,-1
2017,8,21,00:00,UTC,-1
2017,8,22,00:00,UTC,-1
2017,8,23,00:00,UTC,-1
2017,8,24,00:00,UTC,-1
2017,8,25,00:00,UTC,-1
2017,8,26,00:00,UTC,-1
2017,8,27,00:00,UTC,-1
2017,8,28,00:00,UTC,-1
2017,8,29,00:00,UTC,-1
2017,8,30,00:00,UTC,-1
2017,8,31,00:00,UTC,-1
2017,9,1,00:00,UTC,-1
2017,9,2,00:00,UTC,-1
2017,9,3,00:00,UTC,-1
2017,9,4,00:00,UTC,-1
2017,9,5,00:00,UTC,-1
2017,9,6,00:00,UTC,-1
2017,9,7,00:00,UTC,-1
2017,9,8,00:00,UTC,-1
2017,9,9,00:00,UTC,-1
2017,9,10,00:00,UTC,-1
2017,9,11,00:00,UTC,-1
2017,9,12,00:00,UTC,-1
2017,9,13,00:00,UTC,-1
2017,9,14,00:00,UTC,-1
2017,9,15,00:00,UTC,-1
2017,9,16,00:00,UTC,-1
2017,9,17,00:00,UTC,-1
2017,9,18,00:00,UTC,-1
2017,9,19,00:00,UTC,-1
2017,9,20,00:00,UTC,-1
2017,9,21,00:00,UTC,-1
2017,9,22,00:00,UTC,-1
2017,9,23,00:00,UTC,-1
2017,9,24,00:00,UTC,-1
2017,9,25,00:00,UTC,-1
2017,9,26,00:00,UTC,-1
2017,9,27,00:00,UTC,-1
2017,9,28,00:00,UTC,-1
2017,9,29,00:00,UTC,-1
2017,9,30,00:00,UTC,-1
2017,10,1,00:00,UTC,-1
2017,10,2,00:00,UTC,-1
2017,10,3,00:00,UTC,-1
2017,10,4,00:00,UTC,-1
2017,10,5,00:00,UTC,-1
2017,10,6,00:00,UTC,-1
2017,10,7,00:00,UTC,-1
2017,10,8,00:00,UTC,-1
2017,10,9,00:00,UTC,-1
2017,10,10,00:00,UTC,0
2017,10,11,00:00,UTC,0
2017,10,12,00:00,UTC,0
2017,10,13,00:00,UTC,0
2017,10,14,00:00,UTC,0
2017,10,15,00:00,UTC,0
2017,10,16,00:00,UTC,-1
2017,10,17,00:00,UTC,0
2017,10,18,00:00,UTC,0
2017,10,19,00:00,UTC,0
2017,10,20,00:00,UTC,0
2017,10,21,00:00,UTC,0
2017,10,22,00:00,UTC,0
2017,10,23,00:00,UTC,0
2017,10,24,00:00,UTC,2
2017,10,25,00:00,UTC,0
2017,10,26,00:00,UTC,15
2017,10,27,00:00,UTC,20
2017,10,28,00:00,UTC,17
2017,10,29,00:00,UTC,9
2017,10,30,00:00,UTC,7
2017,10,31,00:00,UTC,6
2017,11,1,00:00,UTC,7
2017,11,2,00:00,UTC,6
2017,11,3,00:00,UTC,6
2017,11,4,00:00,UTC,5
2017,11,5,00:00,UTC,2
2017,11,6,00:00,UTC,-1
2017,11,7,00:00,UTC,-1
2017,11,8,00:00,UTC,-1
2017,11,9,00:00,UTC,-1
2017,11,10,00:00,UTC,-1
2017,11,11,00:00,UTC,-1
2017,11,12,00:00,UTC,-1
2017,11,13,00:00,UTC,-1
2017,11,14,00:00,UTC,-1
2017,11,15,00:00,UTC,-1
2017,11,16,00:00,UTC,-1
2017,11,17,00:00,UTC,-1
2017,11,18,00:00,UTC,-1
2017,11,19,00:00,UTC,-1
2017,11,20,00:00,UTC,-1
2017,11,21,00:00,UTC,2
2017,11,22,00:00,UTC,0
2017,11,23,00:00,UTC,-1
2017,11,24,00:00,UTC,0
2017,11,25,00:00,UTC,-1
2017,11,26,00:00,UTC,2
2017,11,27,00:00,UTC,2
2017,11,28,00:00,UTC,-1
2017,11,29,00:00,UTC,2
2017,11,30,00:00,UTC,0
2017,12,1,00:00,UTC,-1
2017,12,2,00:00,UTC,6
2017,12,3,00:00,UTC,3
2017,12,4,00:00,UTC,-1
2017,12,5,00:00,UTC,-1
2017,12,6,00:00,UTC,2
2017,12,7,00:00,UTC,2
2017,12,8,00:00,UTC,3
2017,12,9,00:00,UTC,-1
2017,12,10,00:00,UTC,-1
2017,12,11,00:00,UTC,-1
2017,12,12,00:00,UTC,2
2017,12,13,00:00,UTC,14
2017,12,14,00:00,UTC,13
2017,12,15,00:00,UTC,22
2017,12,16,00:00,UTC,25
2017,12,17,00:00,UTC,22
2017,12,18,00:00,UTC,21
2017,12,19,00:00,UTC,20
2017,12,20,00:00,UTC,18
2017,12,21,00:00,UTC,16
2017,12,22,00:00,UTC,14
2017,12,23,00:00,UTC,14
2017,12,24,00:00,UTC,15
2017,12,25,00:00,UTC,15
2017,12,26,00:00,UTC,15
2017,12,27,00:00,UTC,13
2017,12,28,00:00,UTC,14
2017,12,29,00:00,UTC,13
2017,12,30,00:00,UTC,9
2017,12,31,00:00,UTC,8
2018,1,1,00:00,UTC,11
2018,1,2,00:00,UTC,10
2018,1,3,00:00,UTC,8
2018,1,4,00:00,UTC,6
2018,1,5,00:00,UTC,3
2018,1,6,00:00,UTC,-1
2018,1,7,00:00,UTC,-1
2018,1,8,00:00,UTC,2
2018,1,9,00:00,UTC,3
2018,1,10,00:00,UTC,4
2018,1,11,00:00,UTC,5
2018,1,12,00:00,UTC,5
2018,1,13,00:00,UTC,6
2018,1,14,00:00,UTC,6
2018,1,15,00:00,UTC,6
2018,1,16,00:00,UTC,6
2018,1,17,00:00,UTC,7
2018,1,18,00:00,UTC,21
2018,1,19,00:00,UTC,19
2018,1,20,00:00,UTC,16
2018,1,21,00:00,UTC,14
2018,1,22,00:00,UTC,15
2018,1,23,00:00,UTC,15
2018,1,24,00:00,UTC,19
2018,1,25,00:00,UTC,18
2018,1,26,00:00,UTC,14
2018,1,27,00:00,UTC,12
2018,1,28,00:00,UTC,11
2018,1,29,00:00,UTC,14
2018,1,30,00:00,UTC,13
2018,1,31,00:00,UTC,14
2018,2,1,00:00,UTC,23
2018,2,2,00:00,UTC,37
2018,2,3,00:00,UTC,33
2018,2,4,00:00,UTC,32
2018,2,5,00:00,UTC,32
2018,2,6,00:00,UTC,32
2018,2,7,00:00,UTC,38
2018,2,8,00:00,UTC,36
2018,2,9,00:00,UTC,33
2018,2,10,00:00,UTC,31
2018,2,11,00:00,UTC,32
2018,2,12,00:00,UTC,33
2018,2,13,00:00,UTC,37
2018,2,14,00:00,UTC,35
2018,2,15,00:00,UTC,35
2018,2,16,00:00,UTC,33
2018,2,17,00:00,UTC,31
2018,2,18,00:00,UTC,33
2018,2,19,00:00,UTC,32
2018,2,20,00:00,UTC,32
2018,2,21,00:00,UTC,32
2018,2,22,00:00,UTC,32
2018,2,23,00:00,UTC,32
2018,2,24,00:00,UTC,32
2018,2,25,00:00,UTC,32
2018,2,26,00:00,UTC,35
2018,2,27,00:00,UTC,34
2018,2,28,00:00,UTC,35
2018,3,1,00:00,UTC,34
2018,3,2,00:00,UTC,35
2018,3,3,00:00,UTC,34
2018,3,4,00:00,UTC,34
2018,3,5,00:00,UTC,34
2018,3,6,00:00,UTC,33
2018,3,7,00:00,UTC,35
2018,3,8,00:00,UTC,35
2018,3,9,00:00,UTC,38
2018,3,10,00:00,UTC,39
2018,3,11,00:00,UTC,38
2018,3,12,00:00,UTC,37
2018,3,13,00:00,UTC,36
2018,3,14,00:00,UTC,34
2018,3,15,00:00,UTC,33
2018,3,16,00:00,UTC,33
2018,3,17,00:00,UTC,33
2018,3,18,00:00,UTC,34
2018,3,19,00:00,UTC,34
2018,3,20,00:00,UTC,36
2018,3,21,00:00,UTC,33
2018,3,22,00:00,UTC,36
2018,3,23,00:00,UTC,35
2018,3,24,00:00,UTC,35
2018,3,25,00:00,UTC,35
2018,3,26,00:00,UTC,35
2018,3,27,00:00,UTC,35
2018,3,28,00:00,UTC,35
2018,3,29,00:00,UTC,33
2018,3,30,00:00,UTC,35
2018,3,31,00:00,UTC,35
2018,4,1,00:00,UTC,35
2018,4,2,00:00,UTC,39
2018,4,3,00:00,UTC,47
2018,4,4,00:00,UTC,47
2018,4,5,00:00,UTC,42
2018,4,6,00:00,UTC,36
2018,4,7,00:00,UTC,32
2018,4,8,00:00,UTC,32
2018,4,9,00:00,UTC,29
2018,4,10,00:00,UTC,29
2018,4,11,00:00,UTC,27
2018,4,12,00:00,UTC,26
2018,4,13,00:00,UTC,26
2018,4,14,00:00,UTC,25
2018,4,15,00:00,UTC,23
2018,4,16,00:00,UTC,18
2018,4,17,00:00,UTC,13
2018,4,18,00:00,UTC,8
2018,4,19,00:00,UTC,-1
2018,4,20,00:00,UTC,-1
2018,4,21,00:00,UTC,-1
2018,4,22,00:00,UTC,-1
2018,4,23,00:00,UTC,-1
2018,4,24,00:00,UTC,-1
2018,4,25,00:00,UTC,-1
2018,4,26,00:00,UTC,-1
2018,4,27,00:00,UTC,-1
2018,4,28,00:00,UTC,-1
2018,4,29,00:00,UTC,-1
2018,4,30,00:00,UTC,-1
2018,5,1,00:00,UTC,-1
2018,5,2,00:00,UTC,-1
2018,5,3,00:00,UTC,-1
2018,5,4,00:00,UTC,-1
2018,5,5,00:00,UTC,-1
2018,5,6,00:00,UTC,-1
2018,5,7,00:00,UTC,-1
2018,5,8,00:00,UTC,-1
2018,5,9,00:00,UTC,-1
2018,5,10,00:00,UTC,-1
2018,5,11,00:00,UTC,-1
2018,5,12,00:00,UTC,-1
2018,5,13,00:00,UTC,-1
2018,5,14,00:00,UTC,-1
2018,5,15,00:00,UTC,-1
2018,5,16,00:00,UTC,-1
2018,5,17,00:00,UTC,-1
2018,5,18,00:00,UTC,-1
2018,5,19,00:00,UTC,-1
2018,5,20,00:00,UTC,-1
2018,5,21,00:00,UTC,-1
2018,5,22,00:00,UTC,-1
2018,5,23,00:00,UTC,-1
2018,5,24,00:00,UTC,-1
2018,5,25,00:00,UTC,-1
2018,5,26,00:00,UTC,-1
2018,5,27,00:00,UTC,-1
2018,5,28,00:00,UTC,-1
2018,5,29,00:00,UTC,-1
2018,5,30,00:00,UTC,-1
2018,5,31,00:00,UTC,-1
2018,6,1,00:00,UTC,-1
2018,6,2,00:00,UTC,-1
2018,6,3,00:00,UTC,-1
2018,6,4,00:00,UTC,-1
2018,6,5,00:00,UTC,-1
2018,6,6,00:00,UTC,-1
2018,6,7,00:00,UTC,-1
2018,6,8,00:00,UTC,-1
2018,6,9,00:00,UTC,-1
2018,6,10,00:00,UTC,-1
2018,6,11,00:00,UTC,-1
2018,6,12,00:00,UTC,-1
2018,6,13,00:00,UTC,-1
2018,6,14,00:00,UTC,-1
2018,6,15,00:00,UTC,-1
2018,6,16,00:00,UTC,-1
2018,6,17,00:00,UTC,-1
2018,6,18,00:00,UTC,-1
2018,6,19,00:00,UTC,-1
2018,6,20,00:00,UTC,-1
2018,6,21,00:00,UTC,-1
2018,6,22,00:00,UTC,-1
2018,6,23,00:00,UTC,-1
2018,6,24,00:00,UTC,-1
2018,6,25,00:00,UTC,-1
2018,6,26,00:00,UTC,-1
2018,6,27,00:00,UTC,-1
2018,6,28,00:00,UTC,-1
2018,6,29,00:00,UTC,-1
2018,6,30,00:00,UTC,-1
2018,7,1,00:00,UTC,-1
2018,7,2,00:00,UTC,-1
2018,7,3,00:00,UTC,-1
2018,7,4,00:00,UTC,-1
2018,7,5,00:00,UTC,-1
2018,7,6,00:00,UTC,-1
2018,7,7,00:00,UTC,-1
2018,7,8,00:00,UTC,-1
2018,7,9,00:00,UTC,-1
2018,7,10,00:00,UTC,-1
2018,7,11,00:00,UTC,-1
2018,7,12,00:00,UTC,-1
2018,7,13,00:00,UTC,-1
2018,7,14,00:00,UTC,-1
2018,7,15,00:00,UTC,-1
2018,7,16,00:00,UTC,-1
2018,7,17,00:00,UTC,-1
2018,7,18,00:00,UTC,-1
2018,7,19,00:00,UTC,-1
2018,7,20,00:00,UTC,-1
2018,7,21,00:00,UTC,-1
2018,7,22,00:00,UTC,-1
2018,7,23,00:00,UTC,-1
2018,7,24,00:00,UTC,-1
2018,7,25,00:00,UTC,-1
2018,7,26,00:00,UTC,-1
2018,7,27,00:00,UTC,-1
2018,7,28,00:00,UTC,-1
2018,7,29,00:00,UTC,-1
2018,7,30,00:00,UTC,-1
2018,7,31,00:00,UTC,-1
2018,8,1,00:00,UTC,-1
2018,8,2,00:00,UTC,-1
2018,8,3,00:00,UTC,-1
2018,8,4,00:00,UTC,-1
2018,8,5,00:00,UTC,-1
2018,8,6,00:00,UTC,-1
2018,8,7,00:00,UTC,-1
2018,8,8,00:00,UTC,-1
2018,8,9,00:00,UTC,-1
2018,8,10,00:00,UTC,-1
2018,8,11,00:00,UTC,-1
2018,8,12,00:00,UTC,-1
2018,8,13,00:00,UTC,-1
2018,8,14,00:00,UTC,-1
2018,8,15,00:00,UTC,-1
2018,8,16,00:00,UTC,-1
2018,8,17,00:00,UTC,-1
2018,8,18,00:00,UTC,-1
2018,8,19,00:00,UTC,-1
2018,8,20,00:00,UTC,-1
2018,8,21,00:00,UTC,-1
2018,8,22,00:00,UTC,-1
2018,8,23,00:00,UTC,-1
2018,8,24,00:00,UTC,-1
2018,8,25,00:00,UTC,-1
2018,8,26,00:00,UTC,-1
2018,8,27,00:00,UTC,-1
2018,8,28,00:00,UTC,-1
2018,8,29,00:00,UTC,-1
2018,8,30,00:00,UTC,-1
2018,8,31,00:00,UTC,-1
2018,9,1,00:00,UTC,-1
2018,9,2,00:00,UTC,-1
2018,9,3,00:00,UTC,-1
2018,9,4,00:00,UTC,-1
2018,9,5,00:00,UTC,-1
2018,9,6,00:00,UTC,-1
2018,9,7,00:00,UTC,-1
2018,9,8,00:00,UTC,-1
2018,9,9,00:00,UTC,-1
2018,9,10,00:00,UTC,-1
2018,9,11,00:00,UTC,-1
2018,9,12,00:00,UTC,-1
2018,9,13,00:00,UTC,-1
2018,9,14,00:00,UTC,-1
2018,9,15,00:00,UTC,-1
2018,9,16,00:00,UTC,-1
2018,9,17,00:00,UTC,-1
2018,9,18,00:00,UTC,-1
2018,9,19,00:00,UTC,-1
2018,9,20,00:00,UTC,-1
2018,9,21,00:00,UTC,-1
2018,9,22,00:00,UTC,-1
2018,9,23,00:00,UTC,-1
2018,9,24,00:00,UTC,-1
2018,9,25,00:00,UTC,-1
2018,9,26,00:00,UTC,-1
2018,9,27,00:00,UTC,-1
2018,9,28,00:00,UTC,-1
2018,9,29,00:00,UTC,-1
2018,9,30,00:00,UTC,-1
2018,10,1,00:00,UTC,-1
2018,10,2,00:00,UTC,-1
2018,10,3,00:00,UTC,-1
2018,10,4,00:00,UTC,-1
2018,10,5,00:00,UTC,-1
2018,10,6,00:00,UTC,-1
2018,10,7,00:00,UTC,-1
2018,10,8,00:00,UTC,-1
2018,10,9,00:00,UTC,-1
2018,10,10,00:00,UTC,-1
2018,10,11,00:00,UTC,-1
2018,10,12,00:00,UTC,-1
2018,10,13,00:00,UTC,-1
2018,10,14,00:00,UTC,-1
2018,10,15,00:00,UTC,-1
2018,10,16,00:00,UTC,0
2018,10,17,00:00,UTC,-1
2018,10,18,00:00,UTC,-1
2018,10,19,00:00,UTC,-1
2018,10,20,00:00,UTC,-1
2018,10,21,00:00,UTC,-1
2018,10,22,00:00,UTC,-1
